1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN,A:kids,A:old,B:boys,
5958,A dog is chasing a ball through dirt,The dog is catching a ball,NEUTRAL,3.685,A_neutral_B,B_neutral_A,a dog chases a ball through dirt,a dog is running towards a ball to catch it,FLICKR,FLICKR,TEST,A:chasing,A:through,A:dirt,B:catching,
5963,A boy has a blue face and dirt on the shirt,A boy in a blue shirt has dirt on his face,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a boy in a blue shirt with dirt on his face,a boy in a blue shirt with dirt on his face,FLICKR,FLICKR,TEST,A:and,B:in,B:his,
5984,A large white crane is flying far above the water,A large white crane is flying near the water,NEUTRAL,3.7,A_neutral_B,B_neutral_A,large white crane is flying low near the water,large white crane is flying low near the water,FLICKR,FLICKR,TEST,A:far,A:above,B:near,
6103,A brown and black dog is running through the leaves,A dog and a black man are running through brown leaves,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a brown and black dog runs through the leaves,a brown and black dog runs through the leaves,FLICKR,FLICKR,TRAIN,A:is,B:man,B:are,
6165,The boy and the girl are cheerfully playing and wearing arm floats,A boy and a girl in swimsuits are wearing arm floats,NEUTRAL,4,A_neutral_B,B_neutral_A,a little boy and girl in their swimsuits wearing arm floats,the boy and girl are playing with arm floats on,FLICKR,FLICKR,TEST,A:cheerfully,A:playing,B:in,B:swimsuits,
6166,The boy and the girl are not playing and wearing arm floats,A boy and a girl in swimsuits are wearing arm floats,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a little boy and girl in their swimsuits wearing arm floats,the boy and girl are playing with arm floats on,FLICKR,FLICKR,TEST,A:not,A:playing,B:in,B:swimsuits,
6169,A boy and a girl in swimsuits are wearing arm floats,The boy and the girl are playing and wearing arm floats,NEUTRAL,4.4,A_neutral_B,B_neutral_A,a little boy and girl in their swimsuits wearing arm floats,the boy and girl are playing with arm floats on,FLICKR,FLICKR,TRAIN,A:in,A:swimsuits,B:playing,
6172,A woman in a yellow shirt is surfing on a pink surfboard,A woman in a pink shirt is surfing through yellow surfboards,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a woman in a yellow shirt surfs on a pink surfboard,a woman in a yellow shirt surfs on a pink surfboard,FLICKR,FLICKR,TEST,A:on,A:surfboard,B:through,B:surfboards,
6213,A man is sitting on a boat in font of the sunset near a flag,A man is standing on a boat in front of the sunset near a flag,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man sits on a boat in the sunset near a flag,a man sits on a boat in the sunset near a flag,FLICKR,FLICKR,TRIAL,A:sitting,A:font,B:standing,B:front,
6222,People at a drag race are looking at the flames that are coming out of the cars,People at a drag race are running away from the flames that are coming out of the cars,NEUTRAL,3.5,A_neutral_B,B_neutral_A,people look at the flames coming from the cars at a drag race,people look at the flames coming from the cars at a drag race,FLICKR,FLICKR,TEST,A:looking,B:running,B:away,B:from,
6347,A young child is walking with a bike on a rough dirt path,A young child is riding a bike on a rough dirt path,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a young child rides a bike on a rough dirt path,a young child rides a bike on a rough dirt path,FLICKR,FLICKR,TRAIN,A:walking,A:with,B:riding,
6368,A young gamer is playing with a child wearing a white coat,A young child is wearing a white coat and playing a game,NEUTRAL,3.635,A_neutral_B,B_neutral_A,a young child wearing a white coat playing a children's gold game,a young child wearing a white coat playing a children's gold game,FLICKR,FLICKR,TRAIN,A:gamer,A:with,B:and,B:game,
6379,A surfer is leaning the surfboard against a wall,A surfer is leaning on a surfboard,NEUTRAL,3.5,A_neutral_B,B_neutral_A,surfer leaning back on surfboard,surfer leaning back on surfboard,FLICKR,FLICKR,TEST,A:against,A:wall,B:on,
6387,A waterfall is flowing out of a shallow pool,A waterfall is flowing into a shallow pool,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a waterfall cascades into a shallow pool,a waterfall cascades into a shallow pool,FLICKR,FLICKR,TRAIN,A:out,A:of,B:into,
6408,A black man is break dancing on the pavement,A black man is walking on the pavement,NEUTRAL,3.3,A_neutral_B,B_neutral_A,this black man appears to be break dancing on the pavement,this black man appears to be break dancing on the pavement,FLICKR,FLICKR,TEST,A:break,A:dancing,B:walking,
6499,An electronic man is held as a device,A man is holding up an electronic device,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a man holds up an electronic device while he and another male look on,a man holds up an electronic device while he and another male look on,FLICKR,FLICKR,TRAIN,A:held,A:as,B:holding,B:up,
6591,A young girl is standing on one leg,A young girl is standing still,NEUTRAL,4,A_neutral_B,B_neutral_A,a young girl stands on one leg,a young girl dancing,FLICKR,FLICKR,TRAIN,A:on,A:one,A:leg,B:still,
6688,A group of kids is staring at a colorful structure,A group of kids is playing on a colorful structure,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a group of kids play on a colorful structure,a group of kids play on a colorful structure,FLICKR,FLICKR,TRAIN,A:staring,A:at,B:playing,B:on,
6706,A small child is lying outdoors in a grassy area,A small child is outdoors climbing steps in a grassy area,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a small child climbs steps outdoors in a grassy area,a small child climbs steps outdoors in a grassy area,FLICKR,FLICKR,TEST,A:lying,B:climbing,B:steps,
6724,The black bird is sitting in a leafless tree,A black bird is sitting on a dead tree,NEUTRAL,4.5,A_neutral_B,B_neutral_A,a black bird sitting in a leafless tree,a black bird sits in a dead tree,FLICKR,FLICKR,TEST,A:in,A:leafless,B:on,B:dead,
6795,Two children are crouching under some metal bars,Two children are stretching over some metal bars,NEUTRAL,3.4,A_neutral_B,B_neutral_A,two children trying to squeeze under some metal bars,two children trying to squeeze under some metal bars,FLICKR,FLICKR,TEST,A:crouching,A:under,B:stretching,B:over,
6845,A father is pushing his daughter on a go-kart and another girl is watching,A girl is pushing a go-kart and a daughter is watching her father,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a father pushes his daughters go-kart while another girl watches,a father pushes his daughters go-kart while another girl watches,FLICKR,FLICKR,TRAIN,A:his,A:on,A:another,B:her,
6862,A golden dog is running through a field of tall grass,A golden dog is sitting in a field of tall grass,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a golden dog runs through a field of tall grass,a golden dog runs through a field of tall grass,FLICKR,FLICKR,TRAIN,A:running,A:through,B:sitting,B:in,
6891,A girl is jumping off a rock and another is standing on it,A girl is jumping on a rock and another is sitting on it,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a girl jumps off a rock while another stands on it,a girl jumps off a rock while another stands on it,FLICKR,FLICKR,TEST,A:off,A:standing,B:sitting,
6919,A bearded man is sitting by a shopping cart and is dropping a cardboard sign,A bearded man is standing by a shopping cart and is holding a cardboard sign,NEUTRAL,4,A_neutral_B,B_neutral_A,a bearded man is standing by a shopping cart holding up a cardboard sign,a bearded man is standing by a shopping cart holding up a cardboard sign,FLICKR,FLICKR,TRAIN,A:sitting,A:dropping,B:standing,B:holding,
6937,A large crowd in warm clothing is posing for a camera,A crowd is posing for a large camera man in heavy clothing,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a large crowd in heavy clothing is posing for a camera,a large crowd in heavy clothing is posing for a camera,FLICKR,FLICKR,TEST,A:warm,B:man,B:heavy,
6950,A blonde in green is sitting by a swinging boy,A blonde boy in green is sitting on a swing,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a blonde boy in green is on a swing,a blonde boy in green is on a swing,FLICKR,FLICKR,TRAIN,A:by,A:swinging,B:on,B:swing,
6958,Four people are performing music outdoors,Four people are silently standing outdoors,NEUTRAL,3,A_neutral_B,B_neutral_A,four people performing music outdoors,four people performing music outdoors,FLICKR,FLICKR,TRAIN,A:performing,A:music,B:silently,B:standing,
6972,A man in a red uniform is making a jump in a dirt bike race,A man in a red uniform is racing and making a jump over a bike in the dirt,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a man in a red uniform makes a jump in a dirt bike race,a man in a red uniform makes a jump in a dirt bike race,FLICKR,FLICKR,TEST,A:race,B:racing,B:and,B:over,
6989,Two twin preteen boys are dueling with sticks,Two twin preteen boys are playing with cards,NEUTRAL,2.9,A_neutral_B,B_neutral_A,two twin pre-teen boys dueling with sticks,two twin pre-teen boys dueling with sticks,FLICKR,FLICKR,TEST,A:dueling,A:sticks,B:playing,B:cards,
7027,The boy and girl are not playing on a playground,The boy and girl are playing on the outdoor gym,NEUTRAL,3,A_neutral_B,B_neutral_A,the boy and girl are playing on the outdoor gym,the boy and girl are playing on the outdoor gym,FLICKR,FLICKR,TRIAL,A:not,A:playground,B:outdoor,B:gym,
7095,An oriental man and two women are in front of a camera,An oriental man and two women are facing a camera,NEUTRAL,4.4,A_neutral_B,B_neutral_A,oriental man and two women facing camera and young child with back to camera,oriental man and two women facing camera and young child with back to camera,FLICKR,FLICKR,TEST,A:in,A:front,A:of,B:facing,
7123,A black dog is playing with a brown dog on the sand,A black dog is attacking a brown dog on the sand,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a black dog plays with a brown dog on the sand,a black dog plays with a brown dog on the sand,FLICKR,FLICKR,TRAIN,A:playing,A:with,B:attacking,
7133,A woman and three men are posing for a photo,A woman is posing for three men for a photo,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a woman and three men are posing for a photo,a woman and three men are posing for a photo,FLICKR,FLICKR,TRAIN,A:and,A:are,B:is,
7160,The black dog is not walking through the tall grass,The black dog is running through the grass,NEUTRAL,3.4,A_neutral_B,B_neutral_A,the black dog is running through the grass,the black dog is walking through the tall grass,FLICKR,FLICKR,TEST,A:not,A:walking,A:tall,B:running,
7223,A person with a green shirt is jumping onto the grass,A person with a green shirt is jumping high over the grass,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a person with a green shirt jumps high over the grass,a person with a green shirt jumps high over the grass,FLICKR,FLICKR,TEST,A:onto,B:high,B:over,
7235,A dog is catching a ball in mid air,A dog is caught mid air with a ball,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a dog catches a ball in mid air,a dog catches a ball in mid air,FLICKR,FLICKR,TRAIN,A:catching,A:in,B:caught,B:with,
7296,A young child is running down a gravel road that is covered with dead leaves,A young child is lying down on a gravel road that is covered with dead leaves,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a young child runs down a gravel road covered with dead leaves,a young child runs down a gravel road covered with dead leaves,FLICKR,FLICKR,TEST,A:running,B:lying,B:on,
7313,The man in the hat is smoking a straw cigarette,A man is wearing a straw hat and smoking a cigarette,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man wearing a straw hat smokes a cigarette,the man in the straw hat smokes a cigarette,FLICKR,FLICKR,TRAIN,A:in,B:wearing,B:and,
7326,Some men in the distance are staring at three big hills,Three men are staring at the big green hills in the distance,NEUTRAL,4.6,A_neutral_B,B_neutral_A,three men are staring at the big green hills in the distance,three men are staring at the big green hills in the distance,FLICKR,FLICKR,TEST,A:Some,A:three,B:Three,B:green,
7339,One man is climbing a rock wall and another man is holding a rope,One climber is holding a rock and another man is roping a wall,NEUTRAL,3.6,A_neutral_B,B_neutral_A,one man is climbing a rock wall while another man below holds a rope,one man is climbing a rock wall while another man below holds a rope,FLICKR,FLICKR,TEST,A:climbing,A:rope,B:climber,B:roping,
7349,Small children are getting off a statue in a park,Small children are climbing a statue in a park,NEUTRAL,4,A_neutral_B,B_neutral_A,small children climb a statue in a park,small children climb a statue in a park,FLICKR,FLICKR,TRAIN,A:getting,A:off,B:climbing,
7369,A man is standing on the top of the rocks with clouds behind them,A person is lying on the top of the rocks with clouds behind them,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a man at the top of rocks clouds behind,a man at the top of rocks clouds behind,FLICKR,FLICKR,TEST,A:man,A:standing,B:person,B:lying,
7389,A child is swimming underwater in a pool,A child is swimming on the water's surface in a pool,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a child swims underwater in a pool,a child swims underwater in a pool,FLICKR,FLICKR,TRAIN,A:underwater,B:on,B:water's,B:surface,
7407,A football player is wearing black armbands,A football player is taking off black armbands,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a sooners football player weas the number 28 and black armbands,a sooners football player weas the number 28 and black armbands,FLICKR,FLICKR,TEST,A:wearing,B:taking,B:off,
7415,A dog is chasing a ball in the grass,A dog with a ball is being chased in the grass,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a dog chases a nerf ball in the grass,a dog chases a nerf ball in the grass,FLICKR,FLICKR,TEST,A:chasing,B:with,B:being,B:chased,
7419,A dog is chasing a ball in the grass,A dog is losing a ball on the grass,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a dog chases a nerf ball in the grass,dog chasing after a ball on the grass,FLICKR,FLICKR,TRAIN,A:chasing,A:in,B:losing,B:on,
7491,A dog is chasing a ball,The dog is not catching a blue ball,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a dog chasing a ball,the german shepherd dog is trying to catch a blue ball,FLICKR,FLICKR,TRAIN,A:chasing,B:not,B:catching,B:blue,
7492,The dog is catching a blue ball,The dog is chasing the ball,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a dog chasing a ball,the german shepherd dog is trying to catch a blue ball,FLICKR,FLICKR,TRAIN,A:catching,A:blue,B:chasing,
7494,The dog is catching a blue ball,A dog is chasing a ball,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a dog chasing a ball,the german shepherd dog is trying to catch a blue ball,FLICKR,FLICKR,TEST,A:catching,A:blue,B:chasing,
7507,Two brown dogs are playing with a frisbee in the water,Two brown dogs are leaving a frisbee in the water,NEUTRAL,3.8,A_neutral_B,B_neutral_A,two brown dogs play with a frisbee in the water,two brown dogs play with a frisbee in the water,FLICKR,FLICKR,TRAIN,A:playing,A:with,B:leaving,
7547,A young girl in a blue leotard is jumping on the ground,A young girl in a blue leotard is jumping in the air,NEUTRAL,4.4,A_neutral_B,B_neutral_A,a young girl wearing a blue leotard jumps in the air,a young girl wearing a blue leotard jumps in the air,FLICKR,FLICKR,TRAIN,A:on,A:ground,B:air,
7553,A young girl in blue is jumping in the air,A young girl in a blue leotard is jumping on the ground,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a young girl wearing blue is jumping in the air,a young girl wearing a blue leotard jumps in the air,FLICKR,FLICKR,TRAIN,A:air,B:leotard,B:on,B:ground,
7559,A small boy in a green shirt is striping a sliding tube,A small boy in a striped shirt is sliding out of a green tube,NEUTRAL,3,A_neutral_B,B_neutral_A,small boy in striped shirt sliding out of green tube,small boy in striped shirt sliding out of green tube,FLICKR,FLICKR,TRAIN,A:striping,B:striped,B:out,B:of,
7577,The bunch of men are playing with the mud on a rugby field,The bunch of men are playing rugby on a muddy field,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a bunch of men play rugby on a muddy field,a bunch of men play rugby on a muddy field,FLICKR,FLICKR,TRAIN,A:with,A:mud,B:muddy,
7599,A brown dog and a grey dog are fighting in the snow,A brown dog and a gray dog are playing in the snow,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a brown dog and a gray dog are playing in the snow,a brown dog and a gray dog are playing in the snow,FLICKR,FLICKR,TRAIN,A:grey,A:fighting,B:gray,B:playing,
7657,A girl in a black hat is wearing a bikini at the beach,A black girl with no bikini is wearing a hat at the beach,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a girl in a black hat wears a bikini at the beach,a girl in a black hat wears a bikini at the beach,FLICKR,FLICKR,TRAIN,A:in,B:with,B:no,
7697,Two balls are bouncing against some colorful kids,Two kids are bouncing on colorful balls,NEUTRAL,3.5,A_neutral_B,B_neutral_A,two kids are bouncing on colorful balls,two kids are bouncing on colorful balls,FLICKR,FLICKR,TRAIN,A:against,A:some,B:on,
7746,The dog is running into a brown light,A light brown dog is running up a street,NEUTRAL,2.835,A_neutral_B,B_neutral_A,a light brown dog is running up,a light brown dog is running up,FLICKR,FLICKR,TRAIN,A:into,B:up,B:street,
7770,The big surfer is riding and waving,The surfer is riding a big wave,NEUTRAL,3.3,A_neutral_B,B_neutral_A,the surfer is coming in from riding a big wave,the surfer is coming in from riding a big wave,FLICKR,FLICKR,TEST,A:and,A:waving,B:wave,
7825,A black cat is jumping from a hay ball to another hay ball,A black dog is jumping from n hay ball to another hay ball,NEUTRAL,3.2,A_neutral_B,B_neutral_A,black dog jumps from hay ball to hay ball,black dog jumps from hay ball to hay ball,FLICKR,FLICKR,TEST,A:cat,B:dog,B:n,
7869,A man in blue is riding a horse on a dirt road,A man is riding a dirty horse on a blue road,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man in blue is riding a horse on a dirt road,a man in blue is riding a horse on a dirt road,FLICKR,FLICKR,TRAIN,A:in,A:dirt,B:dirty,
7895,Two white dogs and one brown dog are chasing a ball,Two white dogs are playing with a brown dog and a ball,NEUTRAL,4.3,A_neutral_B,B_neutral_A,there are two white dogs and one brown dog chasing a ball,two white dogs are playing with a brown dog and a ball,FLICKR,FLICKR,TEST,A:one,A:chasing,B:playing,B:with,
7973,Two poodles are in the snow and one is lying down,Two poodles are in the snow and one is jumping high,NEUTRAL,3.9,A_neutral_B,B_neutral_A,two poodles are in the snow and one is jumping high,two poodles are in the snow and one is jumping high,FLICKR,FLICKR,TRAIN,A:lying,A:down,B:jumping,B:high,
7983,A man in a elegant dress is being surrounded by photographers,A man in a suit is being surrounded by photographers,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a man in a suit is surrounded by photographers,a man in a suit is surrounded by photographers,FLICKR,FLICKR,TEST,A:elegant,A:dress,B:suit,
8058,A young boy is wearing a blue patterned swim suit a black and yellow swim cap and has blue swim goggles on her head,A young girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swimming goggles on her head,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a young girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swim goggles on her head,a young girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swim goggles on her head,FLICKR,FLICKR,TRAIN,A:boy,B:girl,B:swimming,
8083,A black and white dog is playing with a tattered volleyball in a brown field,A black and white dog is playing with a frisbee in a brown field,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a black and white dog plays with a tattered volleyball in a brown field,a black and white dog plays with a tattered volleyball in a brown field,FLICKR,FLICKR,TEST,A:tattered,A:volleyball,B:frisbee,
8121,Some cheerleaders are taking a break,Some cheerleaders are dancing,NEUTRAL,3.8,A_neutral_B,B_neutral_A,cheerleaders taking a break,cheerleaders taking a break,FLICKR,FLICKR,TRAIN,A:taking,A:break,B:dancing,
8175,A brown and white dog is jumping over a red yellow and white hurdle,A brown and white dog is passing under a red yellow and white hurdle,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a brown and white dog jumping over a red yellow and white pole,a brown and white dog jumping over a red yellow and white pole,FLICKR,FLICKR,TRAIN,A:jumping,A:over,B:passing,B:under,
8186,The yellow dog is drinking water from a bottle,A yellow dog is not drinking water from the faucet,NEUTRAL,4.3,A_neutral_B,B_neutral_A,yellow labrador drinking water from a faucet,the yellow dog is drinking water from a bottle,FLICKR,FLICKR,TRAIN,A:bottle,B:not,B:faucet,
8191,Adults and children are standing and playing in front of steps near a desert area,Adults and children standing and playing in front of steps near a wooded area,NEUTRAL,3.6,A_neutral_B,B_neutral_A,adults and children stand and play in front of steps near a wooded area,adults and children stand and play in front of steps near a wooded area,FLICKR,FLICKR,TRAIN,A:are,A:desert,B:wooded,
8218,Two large dogs are frolicking in a grassy field,Two large dogs are frolicking in a parking lot,NEUTRAL,3.2,A_neutral_B,B_neutral_A,two large dogs frolic in a grassy field,two large dogs frolic in a grassy field,FLICKR,FLICKR,TEST,A:grassy,A:field,B:parking,B:lot,
8220,Two dogs are running through water,Two dogs are running through high grass,NEUTRAL,3.335,A_neutral_B,B_neutral_A,two dogs running through high grass,two dogs running through high grass,FLICKR,FLICKR,TRIAL,A:water,B:high,B:grass,
8236,Three small cats is sniffing at something,Three small dogs are sniffing at something,NEUTRAL,3.5,A_neutral_B,B_neutral_A,three small dogs sniff at somthing,three small dogs sniff at somthing,FLICKR,FLICKR,TEST,A:cats,A:is,B:dogs,B:are,
8272,Two brown and white dogs are fighting on a grassy area in front of a tree,Two brown and white dogs are fighting on a grassy area behind a tree,NEUTRAL,4.2,A_neutral_B,B_neutral_A,two brown and white dogs fighting on a grassy area in front of a tree,two brown and white dogs fighting on a grassy area in front of a tree,FLICKR,FLICKR,TRAIN,A:in,A:front,A:of,B:behind,
8305,A chubby faced boy is wearing sunglasses,A girl is wearing sunglasses,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a chubby faced boy with sunglasses,a boy wears sunglasses,FLICKR,FLICKR,TRAIN,A:chubby,A:faced,A:boy,B:girl,
8362,A boy in a striped shirt is jumping behind a water fountain,A boy in a striped shirt is jumping in front of a water fountain,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a boy in s striped shirt is jumping in front of a water fountain,a boy in s striped shirt is jumping in front of a water fountain,FLICKR,FLICKR,TRIAL,A:behind,B:front,B:of,
8373,Two large dogs a light colored one and a dark one are sleeping on a snowy terrain,Two large dogs a light colored one and a dark one are running through snowy terrain,NEUTRAL,3.9,A_neutral_B,B_neutral_A,two large dogs one light colored and one dark running through snowy terrain,two large dogs one light colored and one dark running through snowy terrain,FLICKR,FLICKR,TEST,A:sleeping,A:on,B:running,B:through,
8380,A girl in blue is sliding down a green slide,A boy in blue are sliding down a green slide,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a girl in all blue slides down a green slide,a girl in all blue slides down a green slide,FLICKR,FLICKR,TEST,A:girl,A:is,B:boy,B:are,
8391,A woman is looking into the distance and people are walking between buildings behind,A man is looking into the distance and people is walking between buildings behind,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is looking into the distance whilst people behind him walk between buildings,a man is looking into the distance whilst people behind him walk between buildings,FLICKR,FLICKR,TEST,A:woman,A:are,B:man,
8442,Two men are standing together and one is looking in the distance,Two men are standing together and one is looking through binoculars,NEUTRAL,4.1,A_neutral_B,B_neutral_A,two men are standing together while one looks through binoculars,two men are standing together while one looks through binoculars,FLICKR,FLICKR,TEST,A:in,A:distance,B:through,B:binoculars,
8500,The man is going into the water,The person is going into the sea,NEUTRAL,4.1,A_neutral_B,B_neutral_A,the man is going into the water,the person is going into the water,FLICKR,FLICKR,TRIAL,A:man,A:water,B:person,B:sea,
8501,The person is not going into the water,The man is going into the water,NEUTRAL,3.5,A_neutral_B,B_neutral_A,the man is going into the water,the person is going into the water,FLICKR,FLICKR,TRAIN,A:person,A:not,B:man,
8503,The person is going into the water,The man is not going into the water,NEUTRAL,4.2,A_neutral_B,B_neutral_A,the man is going into the water,the person is going into the water,FLICKR,FLICKR,TEST,A:person,B:man,B:not,
8516,Five people are standing with three dogs in the green field beside the road,Five people are standing with three dogs in the park beside the road,NEUTRAL,4.3,A_neutral_B,B_neutral_A,five people are standing with three dogs in the green field beside the road,five people are standing with three dogs in the green field beside the road,FLICKR,FLICKR,TRAIN,A:green,A:field,B:park,
8518,Five people are standing in the grass with three dogs,Five people are standing with three dogs in the park beside the road,NEUTRAL,3.9,A_neutral_B,B_neutral_A,five people stand in the grass with three dogs,five people are standing with three dogs in the green field beside the road,FLICKR,FLICKR,TEST,A:grass,B:park,B:beside,B:road,
8523,A girl is carrying a lot of colorful scarves on the beach,A young woman is carrying a lot of colorful scarves on the beach,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a young woman carries a lot of colorful scarves on the beach,a young woman carries a lot of colorful scarves on the beach,FLICKR,FLICKR,TEST,A:girl,B:young,B:woman,
8553,The brown dog is spotting a black dog and is playing in the dry grass,The brown dog is spotting a black dog lying in the dry grass,NEUTRAL,3.5,A_neutral_B,B_neutral_A,the brown dog sees a black dog laying in the dry grass,the brown dog sees a black dog laying in the dry grass,FLICKR,FLICKR,TEST,A:and,A:playing,B:lying,
8569,A black dog and a small white and black dog are looking up at a kitchen countertop,A black cat and a small white and black cat are looking up at a kitchen countertop,NEUTRAL,2.2,A_neutral_B,B_neutral_A,a black dog and small white and black dog look up at a kitchen countertop,a black dog and small white and black dog look up at a kitchen countertop,FLICKR,FLICKR,TRAIN,A:dog,A:dog,B:cat,B:cat,
8625,People are sitting against a wall,People is standing against a wall,NEUTRAL,3.7,A_neutral_B,B_neutral_A,people sit against a.wall,people sit against a.wall,FLICKR,FLICKR,TEST,A:are,A:sitting,B:is,B:standing,
8780,Three men are sitting on a hill and looking at the mountains and sky,Three men are sitting on a hill and looking at the sea,NEUTRAL,3.3,A_neutral_B,B_neutral_A,three men sitting on a hill looking at the mountains and sky,three men sitting on a hill looking at the mountains and sky,FLICKR,FLICKR,TEST,A:mountains,A:sky,B:sea,
8787,A girl is skipping rope in a park,A girl is skipping rope on a sidewalk,NEUTRAL,4,A_neutral_B,B_neutral_A,a girl jumps rope on a sidewalk,a girl jumps rope on a sidewalk,FLICKR,FLICKR,TRAIN,A:in,A:park,B:on,B:sidewalk,
8820,Two dogs are running through the beach,Two dogs are running quickly through a park,NEUTRAL,3.3,A_neutral_B,B_neutral_A,two dogs are running quickly through a park,two dogs run through the park,FLICKR,FLICKR,TEST,A:beach,B:quickly,B:park,
8849,The dog is on a leash and is walking out of the water,The dog is on a leash and is walking near the water,NEUTRAL,3.9,A_neutral_B,B_neutral_A,the dog is on a leash and is walking out of the water,the dog is on a leash and is walking out of the water,FLICKR,FLICKR,TEST,A:out,A:of,B:near,
8853,A dog on a leash is walking in the water,The dog is on a leash and is walking out of the water,NEUTRAL,3.9,A_neutral_B,B_neutral_A,the dog is on a leash and is walking out of the water,a black dog on a leash walking in water,FLICKR,FLICKR,TEST,A:in,B:and,B:out,B:of,
8906,A middle eastern woman is standing with her back against a lamp post near to other people,A middle eastern man is standing with the back against a lamp post near to other people,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a middle eastern man is standing with his back against a lamp post near to other people who are waiting around,a middle eastern man is standing with his back against a lamp post near to other people who are waiting around,FLICKR,FLICKR,TEST,A:woman,A:her,B:man,
8921,The dog is running across the dirty path,The dog is running across the gravel,NEUTRAL,3.7,A_neutral_B,B_neutral_A,the dog is running across the gravel,the dog is running across the gravel,FLICKR,FLICKR,TEST,A:dirty,A:path,B:gravel,
8942,A boy in blue shirt is looking at his hand near a stack of blocks on table,A woman in blue shirt is looking at her hand near a stack of blocks on table,NEUTRAL,3.1,A_neutral_B,B_neutral_A,boy in blue shirt looking at someone's hand near stack of blocks on table,boy in blue shirt looking at someone's hand near stack of blocks on table,FLICKR,FLICKR,TRAIN,A:boy,A:his,B:woman,B:her,
8951,A woman is running on the beach with a dog on a leash,A woman is standing at the beach with a dog on a leash,NEUTRAL,4,A_neutral_B,B_neutral_A,a woman is standing at the beach with her dog on a leash,a woman is standing at the beach with her dog on a leash,FLICKR,FLICKR,TEST,A:running,B:standing,B:at,
9012,A man in a black hat is reaching for a box,A man in a black hat is touching a cardboard box,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a man in a black hat touches a cardboard box,a man in a black hat reaches into a box,FLICKR,FLICKR,TEST,A:reaching,A:for,B:touching,B:cardboard,
9023,Two dogs are playing on a beach,Two dogs are playing in a forest,NEUTRAL,3.7,A_neutral_B,B_neutral_A,two dogs playing on a beach,two dogs playing on a beach,FLICKR,FLICKR,TEST,A:on,A:beach,B:in,B:forest,
9064,A dog is standing on a mountain,A white dog is standing on a grassy hillside,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a white dog is standing on a grassy hillside,a dog standing on the side of a mountain,FLICKR,FLICKR,TEST,A:mountain,B:white,B:grassy,B:hillside,
