sentence,tokens
A dog which is small is playing tirelessly on the green grass,12
A dog which is small is playing on the green grass,11
A dog which is small is running out of the green grass,12
A small kid is playing with a green toy dog on the grass,13
The person is riding a motorbike on a sandy track,10
The person is riding a motorbike on a track on the sand,12
The person isn't riding a motorbike on a sandy track,10
A motorbike rider is jumping over a person on a sandy track,12
A man is riding a motorbike in the event related to motocross,12
A person is riding a motorbike in the event related to motocross,12
There is no person riding a motorbike in the event related to motocross,13
A motocross rider is giving a motorbike to a person at an event,13
A pink shirt with white writing on it is being worn by a girl who is lying in the grass,20
A girl is wearing a pink shirt with white writing on it and is lying in the grass,18
A girl is naked and is standing on the grass,10
The young girl with a shirt dyed pink is peacefully lying on the grass,14
The young girl with a pink shirt is peacefully lying on the grass,13
The young girl with a pink shirt isn't peacefully lying on the grass,13
The young peaceful girl is lying about the grass found in the pink shirt,14
A dog of large size is running on the grass with a tennis ball in its mouth,17
A large dog is running on the grass with a tennis ball in its mouth,15
There is no large dog running on the grass with a tennis ball in its mouth,16
A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,22
A dog which is large and gray is difficultly carrying a ball in its mouth and running across the grass,20
A dog which is large and gray is carrying a ball in its mouth and running across the grass,19
A dog which is large and gray is dropping a ball from its mouth and stopping in the grass,19
A large gray ball is hitting a running dog which is carrying some grass in its mouth,17
A man is opening a package that contains headphones,9
A man who is wearing headphones is opening a package ,11
A woman is riding a brown horse,7
A woman is riding a horse,6
There is no woman riding a horse,7
A man is opening a small package that contains headphones,10
A man is opening a package that doesn't contain headphones,10
A man is singing and playing the guitar,8
A man is singing a song and playing the guitar,10
There is no man singing and playing the guitar,9
A dog is riding a skateboard,6
An animal is riding a skateboard,6
There is no dog riding a skateboard,7
A sea turtle is hunting for fish,7
A sea turtle is hunting for food,7
A sea turtle is not hunting for fish,8
A fish is hunting for a turtle in the sea,10
The turtle is following the red fish,7
The turtle is following the fish,6
The turtle isn't following the fish,6
The fish is following the turtle,6
A man is driving a car,6
The car is being driven by a man,8
There is no man driving the car,7
A woman is dipping a prawn in batter,8
A woman is dipping a shrimp in batter,8
There is no woman dipping a shrimp in batter,9
A man is playing a guitar under a windows,9
A man is playing a guitar,6
There is no man playing a guitar,7
A man is playing a piano at a concert,9
A man is playing a piano,6
There is no man playing a piano,7
A woman is adding ingredients to a big bowl,9
A woman is adding ingredients to a bowl,8
A woman is removing ingredients from a bowl,8
A woman is cracking some eggs into a bowl,9
A woman is cracking some eggs into a container,9
A woman is cracking some eggs outside a bowl,9
A woman is slicing a carrot,6
A carrot is being sliced by a woman,8
There is no woman slicing a carrot,7
A potato is being sliced by a woman,8
A woman is slicing a potato,6
There is no woman slicing a potato,7
A woman is cooking prawns,5
A woman is boiling shrimps,5
A woman is not boiling shrimps,6
A woman is combing her hair,6
A woman is arranging her hair,6
There is no woman combing her hair,7
A man and a woman are hiking through a wooded area,11
A man and a woman are walking through a wooded area,11
A man and a woman are walking through a desert area,11
A man and a woman are walking together through wooded areas,11
A man and a woman are walking together through the woods,11
A man and a woman are walking together through the city,11
A man is making a speech on a podium,9
A man is speaking on a podium,7
There is no man speaking on a podium,8
A podium is where a man is speaking,8
A man is tanking on a stage in front of a crowd,12
A man is speaking on a stage,7
There is no man speaking on a stage,8
A man is speaking about the stage,7
A woman is talking on a telephonic device,8
A woman is talking on a telephone,7
A woman is not talking on a telephone,8
Two frightened boys are talking on the phone,8
Two boys are talking on the phone,7
